Date,Close/Last,Volume,Open,High,Low
01/10/2022,$56.24,34044650,$55.71,$56.26,$54.74
01/07/2022,$55.72,27703370,$55.36,$55.77,$54.63
01/06/2022,$54.84,37000390,$55.16,$55.63,$54.49
01/05/2022,$55.63,52956420,$55.84,$56.44,$55.37
01/04/2022,$54.53,66993080,$56.22,$56.43,$53.94
01/03/2022,$56.65,57253150,$58.5,$58.55,$56.34
12/31/2021,$59.05,28579620,$58.53,$59.8,$58.44
12/30/2021,$58.4,24559000,$57.75,$58.74,$57.53
12/29/2021,$57.58,26170220,$57.31,$58.03,$57.07
12/28/2021,$58.01,36901700,$59.05,$59.45,$57.08
12/27/2021,$59.2,27362580,$58.85,$59.38,$58.231
12/23/2021,$58.71,39203200,$59.82,$60.08,$58.31
12/22/2021,$59.55,62594920,$59.25,$60.585,$58.22
12/21/2021,$58.95,63877880,$60.01,$60.04,$57.16
12/20/2021,$61.02,55712220,$60.6,$61.71,$59.83
12/17/2021,$59.48,104320200,$59.93,$61.19,$58.7
12/16/2021,$61.25,75183650,$58.36,$61.43,$57.75
12/15/2021,$58.8,75202910,$56.11,$58.915,$55.89
12/14/2021,$55.54,48685670,$54.77,$55.95,$54.316
12/13/2021,$55.2,54923240,$53.44,$55.73,$53.44
12/10/2021,$52.78,26079360,$51.2,$52.85,$51.11
12/09/2021,$52.08,38325660,$51.51,$52.845,$51.51
12/08/2021,$51.4,37429200,$52.75,$53.08,$51.03
12/07/2021,$51.72,41575440,$51.25,$52.4999,$50.4
12/06/2021,$51.48,53723980,$53.78,$53.89,$51.25
12/03/2021,$54.27,37574770,$53.71,$54.41,$53.102
12/02/2021,$53.04,46361740,$53.82,$55.08,$52.77
12/01/2021,$54.68,59849360,$52.47,$55.17,$51.86
11/30/2021,$53.73,64598390,$52.31,$54.46,$51.91
11/29/2021,$52.4,72660760,$55.15,$55.7,$52.11
11/26/2021,$54,66561300,$54.035,$54.94,$53.25
11/24/2021,$50.89,18556750,$51.18,$51.33,$50.705
11/23/2021,$51.08,24952590,$50.58,$51.45,$50.3
11/22/2021,$51.2,27287940,$50.95,$51.47,$50.38
11/19/2021,$50.8,47966180,$51.96,$52.835,$50.68
11/18/2021,$51.41,32872570,$51.1,$51.71,$50.61
11/17/2021,$50.87,36889770,$49.94,$51.09,$49.685
11/16/2021,$49.6,31297220,$49.47,$50.16,$48.89
11/15/2021,$49.65,27763220,$49.73,$50.1,$49.37
11/12/2021,$49.73,27780570,$50.42,$50.49,$49.57
